# Expression Atlas
# Query: Genes matching: 'R-MMU-3371556', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3718
# Selected columns: 6 (all)
# Timestamp: Sat, 02-Apr-2022 02:33:12
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMUSG00000040667	Nup88	25.0	24.0	14.0	16.0	10.0	59.0
ENSMUSG00000041548	Hspb8	24.0	42.0	471.0	10.0	208.0	3.0
ENSMUSG00000042215	Bag2	8.0	9.0	21.0	10.0	1.0	7.0
ENSMUSG00000048439	Nupl2	8.0	6.0	3.0	3.0	2.0	43.0
ENSMUSG00000049792	Bag5	73.0	73.0	20.0	27.0	21.0	820.0
ENSMUSG00000051329	Nup160	6.0	7.0	3.0	6.0	3.0	16.0
ENSMUSG00000051518	Rps19bp1	49.0	31.0	17.0	34.0	23.0	26.0
ENSMUSG00000052533	Nup188	19.0	25.0	11.0	12.0	6.0	179.0
ENSMUSG00000052798	Nup107	18.0	23.0	9.0	8.0	3.0	36.0
ENSMUSG00000053293	Pom121	66.0	86.0	17.0	21.0	15.0	156.0
ENSMUSG00000053819	Camk2d	23.0	29.0	15.0	4.0	0.7	1.0
ENSMUSG00000055024	Ep300	32.0	46.0	17.0	31.0	11.0	21.0
ENSMUSG00000057897	Camk2b	428.0	298.0	4.0	1.0	1.0	1.0
ENSMUSG00000059970	Hspa2	73.0	49.0	9.0	26.0	6.0	1932.0
ENSMUSG00000062797	Hikeshi	28.0	23.0	13.0	16.0	7.0	4.0
ENSMUSG00000063065	Mapk3	256.0	168.0	59.0	87.0	33.0	182.0
ENSMUSG00000063358	Mapk1	292.0	97.0	32.0	50.0	23.0	15.0
ENSMUSG00000063550	Nup98	22.0	25.0	13.0	22.0	10.0	218.0
ENSMUSG00000063895	Nupl1	45.0	32.0	11.0	16.0	10.0	103.0
ENSMUSG00000071072	Ptges3	148.0	136.0	59.0	131.0	82.0	180.0
ENSMUSG00000074793	Hspa12b	11.0	21.0	37.0	8.0	3.0	8.0
ENSMUSG00000079614	Seh1l	34.0	35.0	19.0	46.0	24.0	15.0
ENSMUSG00000090877	Hspa1b	8.0	10.0	8.0	25.0	22.0	13.0
ENSMUSG00000091971	Hspa1a	7.0	9.0	7.0	14.0	0.5	2.0
